"","79459","6601","2253","21","7","158","84","2597","2724","622","218","30","1852","688","3672","2","1","2054","24","7","2853","56","37","2","41","12","37","16","16","129","8","4","14","12","5","958","77","692","19","25","5","28","74","4944","209","634","48","70","52","2609","355","107","33","113","36","37","9","9","17","8","5","4","15","0","98","42","8","1","22","39","26","9","37","10","59","107","70","38","12","24","38"
"1",6039,14271,171,10,0,10,56,219,122,86,19,8,171,67,504,3,1,176,8,11,477,12,18,0,7,3,0,2,2,35,5,2,5,2,0,94,12,73,0,5,1,6,7,703,29,71,9,8,5,459,64,9,14,26,6,19,2,12,15,5,1,0,3,0,61,2,7,1,1,9,5,5,10,0,16,10,13,11,3,3,4
"2",2482,2131,36509,24,29,632,24,1409,1524,405,169,75,1273,518,2432,5,14,1951,20,55,134,33,33,3,27,13,6,6,13,60,0,0,5,3,2,777,45,621,10,16,1,27,117,2203,76,337,38,34,72,1146,170,35,10,85,35,36,4,6,3,5,2,2,6,1,73,8,12,3,12,13,10,10,20,15,50,77,52,28,12,6,9
"3",1318,431,71,8275,1,5,487,64,512,20,7,36,53,23,85,75,1,42,4,1,329,9,4,0,5,0,0,1,12,14,0,0,0,2,0,12,2,3,0,0,0,0,0,88,6,26,5,8,6,104,16,1,7,6,3,1,0,1,1,1,2,0,1,0,69,2,0,0,3,43,1,1,42,1,25,5,20,4,0,1,2
"4",88,4,15,0,5116,1,0,4,2,0,1,1,2,3,8,0,205,5,10,177,3,3,0,0,2,0,0,0,18,1,0,0,1,0,0,16,10,2,0,3,0,2,22,3,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,8,0,2,5,2,1,4,1,0,2,0,17,0,0,0
"5",6293,391,2002,6,4,9308,3,249,385,91,34,155,267,112,516,0,1,419,9,14,294,19,14,0,5,0,1,2,2,19,0,16,2,0,0,106,1,112,0,2,0,4,58,437,10,74,6,10,6,164,25,4,7,7,1,4,11,1,1,0,0,3,1,1,26,1,1,0,4,4,2,0,5,0,3,18,16,6,2,0,2
"6",2095,834,77,244,1,3,4958,50,1165,14,5,20,72,11,131,3,0,37,3,1,227,2,6,0,9,0,0,1,2,7,0,0,0,1,0,14,2,10,0,0,0,1,4,173,5,21,1,6,0,195,18,1,6,6,2,4,0,1,1,0,0,0,0,0,8,3,0,1,3,8,4,0,6,0,9,5,28,2,0,1,3
"7",11909,1169,681,10,6,34,19,20309,633,65,961,5,1531,1595,2625,0,3,798,12,9,767,21,15,2,6,3,2,4,4,29,1,0,3,3,1,327,36,300,3,8,0,6,14,1631,32,314,18,34,29,663,96,48,13,28,9,9,2,5,2,2,0,1,2,0,26,4,5,1,2,5,13,1,4,2,5,208,36,8,16,2,8
"8",4016,1744,134,20,0,12,285,155,12781,18,13,19,187,29,305,1,0,106,17,0,547,3,6,1,8,11,2,4,4,11,1,1,0,0,0,41,5,33,1,1,1,4,2,657,17,57,11,14,5,652,69,8,4,17,2,14,0,4,5,1,1,1,2,0,41,1,0,1,4,4,0,1,5,2,6,12,13,15,2,2,3
"9",10289,1786,810,11,1,58,36,636,657,9865,50,10,525,173,694,0,0,384,7,6,540,13,9,2,10,3,4,2,4,13,1,0,1,0,0,93,12,163,21,2,4,4,5,938,58,133,31,17,13,332,60,18,5,27,3,7,2,2,0,0,1,0,3,1,26,0,1,2,0,3,7,1,5,6,14,18,18,9,3,3,4
